Element,X,Y,Z
C,1.18707321,4.56101178,10.45702068
C,-3.32164709,3.03300928,10.40862288
C,-3.99233729,-1.48222742,10.35796628
C,-0.44000899,-4.53838802,10.46079688
C,4.10332211,-3.14257342,10.52234948
C,5.28032321,0.02562278,10.50555108
C,4.96916281,1.57985758,10.49258208
C,4.11118491,2.03160718,11.53212238
C,3.04358741,3.19784088,11.51943988
C,2.69001771,4.06765448,10.45838728
C,1.00480311,3.67171588,12.68474598
C,0.37329301,4.08037038,11.51968048
C,-1.18487729,3.81550358,11.52609348
C,-2.08216389,4.00061828,10.44308038
C,-2.82727629,2.42008798,12.70219268
C,-3.40513189,2.11655968,11.48039388
C,-3.93293369,0.65714118,11.46912998
C,-4.30825309,-0.08703762,10.33031168
C,-3.42122699,-1.24005872,12.70963948
C,-3.28453429,-1.94188442,11.49685508
C,-2.25180289,-3.10598912,11.50356248
C,-1.90263039,-3.96879242,10.43403468
C,-0.29021469,-3.65723072,12.70868938
C,0.35469751,-4.09708042,11.53945138
C,1.91228441,-3.89378972,11.55905278
C,2.85687211,-4.11562302,10.52023478
C,3.40429701,-2.47980252,12.73129868
C,4.10117411,-2.17914402,11.56026298
C,4.65381061,-0.69979442,11.55239578
C,4.33218191,-0.01515852,12.71812848
C,4.07259611,1.29403248,12.70894228
C,3.60685961,1.79132558,13.86750998
C,2.72512261,2.75435638,13.86077158
C,2.28391341,3.25629788,12.69210178
C,0.94146111,3.42979088,15.05577618
C,0.30849431,3.52055308,13.87842368
C,-1.00205999,3.29276048,13.87230598
C,-1.68043059,3.22530138,12.71061368
C,-2.64911799,2.22223908,15.08166998
C,-3.26952419,1.81194578,13.90891048
C,-4.21866209,0.78838578,13.86674278
C,-3.87725249,0.03685978,12.71516188
C,-3.47122929,-1.16616862,15.03547128
C,-3.02164659,-1.70705422,13.87086938
C,-2.06142279,-2.65200902,13.88474528
C,-1.54790829,-3.18600162,12.69003458
C,-0.28108789,-3.41692412,15.06294698
C,0.35380321,-3.54220552,13.87837688
C,1.65571291,-3.36735942,13.88776608
C,2.35008781,-3.29914492,12.72955978
C,3.20251951,-2.29568502,15.07467928
C,3.62197731,-1.84652512,13.88818318
C,4.08318341,-0.63384872,13.88319438
C,4.07386281,-0.02232392,15.06486428
C,3.83187471,1.22893998,15.05817628
C,3.61840071,1.80188008,16.24103578
C,2.74461411,2.76949728,16.24129158
C,2.17674931,3.04109738,15.05048478
C,1.05806961,3.70554728,17.42396668
C,0.34545961,3.53579928,16.23998118
C,-0.94758379,3.30197848,16.26604488
C,-1.55973039,2.98028758,15.05355638
C,-2.65336189,2.41588938,17.46075318
C,-3.02843779,1.78561538,16.25425068
C,-3.67374099,0.64293878,16.26323488
C,-4.23430849,-0.00780922,15.13421958
C,-3.43661819,-1.29395252,17.44922408
C,-3.04660629,-1.75981622,16.24928368
C,-2.09333209,-2.69895792,16.23322838
C,-1.51602689,-2.96751742,15.05996098
C,-0.33294469,-3.70250992,17.41442628
C,0.33361651,-3.55892742,16.25310298
C,1.63843631,-3.37185222,16.25519338
C,2.18837461,-3.07826692,15.07333608
C,3.37633461,-2.47064302,17.41971378
C,3.60973491,-1.84099342,16.25876528
C,4.07738561,-0.62798772,16.25439208
C,4.32843991,-0.00233932,17.41178448
C,4.08661771,1.31122778,17.40561788
C,4.14339371,2.06091848,18.57227308
C,3.09893321,3.24400128,18.57368918
C,2.32796951,3.28885228,17.40722508
C,1.27271301,4.63652508,19.63391568
C,0.44920501,4.12878848,18.59340768
C,-1.09698239,3.84000348,18.61236078
C,-1.58795039,3.22756898,17.44172098
C,-3.20913979,3.03502028,19.73544888
C,-3.27878499,2.11053118,18.66750228
C,-3.86438659,0.66927438,18.67636498
C,-3.71176509,0.00970208,17.46205538
C,-4.13836489,-1.59688942,19.74165438
C,-3.38211739,-2.03997252,18.63321268
C,-2.34018569,-3.21270022,18.60722118
C,-1.60634169,-3.25485592,17.42585228
C,-0.50688519,-4.63133002,19.63965458
C,0.30431071,-4.14635402,18.58402098
C,1.86642501,-3.90098832,18.58484698
C,2.31933711,-3.29835982,17.41808848
C,4.04671651,-3.11456562,19.64088358
C,4.06482661,-2.15984022,18.59200558
C,4.63720501,-0.68297942,18.58607818
C,5.27346791,0.04615198,19.62528688
C,4.99407251,1.60681408,19.61643878
C,2.77197061,4.13876278,19.62135318
C,-1.98571509,4.01868178,19.69825898
C,-4.39592039,-0.04738242,19.77536078
C,-1.99343449,-4.10464012,19.65370288
C,2.80367661,-4.09787282,19.63714628
H,0.79714761,5.18552018,9.68063738
H,-4.02714299,3.03924938,9.60414458
H,-4.23371839,-2.13077582,9.54186478
H,-0.06124459,-5.17961582,9.69251518
H,4.86391241,-3.18049172,9.77069648
H,5.87893981,-0.44630922,9.75466398
H,5.34154711,2.23179048,9.73018648
H,3.37957411,4.33839258,9.68629058
H,-1.90429439,4.72203218,9.67312728
H,-4.76026359,0.37215478,9.47607028
H,-2.58110959,-4.18819422,9.63626158
H,2.71356501,-4.85843302,9.76355978
H,0.89331281,5.27977948,20.40019918
H,-3.91808669,3.03771398,20.53687738
H,-4.46568829,-2.25350052,20.52053188
H,-0.12566749,-5.27871612,20.40153918
H,4.79438541,-3.14129152,20.40584988
H,5.86042001,-0.42679532,20.38469018
H,5.38079471,2.26177118,20.36900218
H,3.47581841,4.42278888,20.37555618
H,-1.81387399,4.74452818,20.46541458
H,-4.89535129,0.43360678,20.59026038
H,-2.68266739,-4.37072542,20.42771298
H,2.65790291,-4.83255822,20.40124668
Ti,-6.15112709,1.51839608,13.54926878
Ti,-6.23225729,-0.40351402,15.60301588
H,-8.73813915,-0.37884347,14.16048758
H,-8.90750217,-0.16173053,13.47362650
