Element,X,Y,Z
C,0.04279590,-0.17659246,4.38231676
C,6.23392671,-0.02343953,4.42975580
C,6.36112102,1.29312082,3.90907197
C,3.78527395,0.14418951,4.24593901
C,3.91996246,1.41480752,3.65817109
C,1.32842690,0.37695832,4.23809609
C,1.46355418,1.62477007,3.56628087
C,5.20997450,1.88145974,3.33163582
C,5.34287080,2.82382148,2.27450723
C,2.75077568,2.02475781,3.16440024
C,2.89050620,2.81469948,2.00220527
C,0.29820200,2.20274844,3.02123575
C,0.43608995,2.92298918,1.79786951
C,4.18591984,3.01838510,1.48371180
C,4.32529640,3.16205764,0.07310618
C,1.72473245,3.07571067,1.25113313
C,1.86550156,3.13072737,-0.15949979
C,5.60687949,3.19237216,-0.52233079
C,5.74497160,2.64945595,-1.83128589
C,3.15802445,2.99925677,-0.70200928
C,3.30141485,2.39122323,-1.96844971
C,0.70316237,2.96206899,-0.94016062
C,0.84801212,2.27939330,-2.18420641
C,4.59861508,2.05404958,-2.40449804
C,4.74623653,0.91410920,-3.23749325
C,2.13887852,1.88231330,-2.58191528
C,2.28545420,0.70119472,-3.34600508
C,6.02864371,0.43094853,-3.56766505
C,6.16951213,-0.96979169,-3.76909403
C,3.57958719,0.17084843,-3.50330937
C,3.72637303,-1.22743974,-3.62460507
C,1.12627458,-0.05809271,-3.61317532
C,1.27439140,-1.47513356,-3.64507394
C,5.02950927,-1.76032962,-3.54325692
C,5.16794140,-3.06051783,-2.97322204
C,2.56550448,-2.01323837,-3.49897265
C,2.71465103,-3.27708325,-2.88153902
C,0.11534310,-2.25849960,-3.46393727
C,0.26266688,-3.48811772,-2.75452608
C,6.45391186,-3.57067232,-2.72116000
C,4.00985246,-3.67653499,-2.50416758
C,4.15700272,-4.51730509,-1.36260411
C,1.55330468,-3.88614532,-2.35929738
C,1.69827684,-4.62753287,-1.15626230
C,5.44071774,-4.82636069,-0.85836635
C,5.57840058,-4.99872905,0.54697602
C,2.99003499,-4.77344893,-0.61433262
C,3.13179174,-4.86633145,0.78796927
C,0.53704492,-4.87797306,-0.39506727
C,0.67867286,-4.89496645,1.02473706
C,4.42768578,-4.77791738,1.33589979
C,4.56620044,-4.20290935,2.63039660
C,1.96704587,-4.74022056,1.57084006
C,2.10496784,-4.09244553,2.82326462
C,5.84574395,-3.93014423,3.15936301
C,5.97633375,-2.81176628,4.02759004
C,3.39462880,-3.69447288,3.22574817
C,3.52935171,-2.54116440,4.02454885
C,0.93917554,-3.57285888,3.42354982
C,1.07434881,-2.35982246,4.16157503
C,4.82282062,-2.02243333,4.22990475
