File ID,Temperature (K),G,Pressure (bar),theta
1,77,-0.22339356,1,0.811547689
1,77,-0.22339356,2,0.895971653
1,77,-0.22339356,3,0.928156516
1,77,-0.22339356,4,0.945131908
1,77,-0.22339356,5,0.955618501
1,100,-0.01568775,1,0.519727738
1,100,-0.01568775,2,0.6839748
1,100,-0.01568775,3,0.764509563
1,100,-0.01568775,4,0.812333771
1,100,-0.01568775,5,0.844012292
1,273,1.34600895,1,0.077176242
1,273,1.34600895,2,0.143293621
1,273,1.34600895,3,0.200570215
1,273,1.34600895,4,0.250668101
1,273,1.34600895,5,0.294857297
1,298.15,1.51606416,1,0.071818439
1,298.15,1.51606416,2,0.134012321
1,298.15,1.51606416,3,0.188394866
1,298.15,1.51606416,4,0.236350733
1,298.15,1.51606416,5,0.278955577
1,400,2.15173179,1,0.062546203
1,400,2.15173179,2,0.11772891
1,400,2.15173179,3,0.166776176
1,400,2.15173179,4,0.210657359
1,400,2.15173179,5,0.250147828
1,500,2.70519561,1,0.061635849
1,500,2.70519561,2,0.116114861
1,500,2.70519561,3,0.164615158
1,500,2.70519561,4,0.208069733
1,500,2.70519561,5,0.24722705
1,600,3.200301,1,0.063902217
1,600,3.200301,2,0.12012799
1,600,3.200301,3,0.169982176
1,600,3.200301,4,0.214489756
1,600,3.200301,5,0.254467052
1,700,3.64646061,1,0.067757648
1,700,3.64646061,2,0.126915781
1,700,3.64646061,3,0.179013831
1,700,3.64646061,4,0.225244482
1,700,3.64646061,5,0.266546093
2,77,-0.37587849,1,0.921052809
2,77,-0.37587849,2,0.958904206
2,77,-0.37587849,3,0.972222288
2,77,-0.37587849,4,0.979021029
2,77,-0.37587849,5,0.983146108
2,100,-0.21209838,1,0.744107903
2,100,-0.21209838,2,0.853281958
2,100,-0.21209838,3,0.897158399
2,100,-0.21209838,4,0.920833394
2,100,-0.21209838,5,0.935647806
2,273,0.82329312,1,0.179796313
2,273,0.82329312,2,0.304792126
2,273,0.82329312,3,0.396728351
2,273,0.82329312,4,0.467188788
2,273,0.82329312,5,0.5229114
2,298.15,0.94565757,1,0.168506221
2,298.15,0.94565757,2,0.288413049
2,298.15,0.94565757,3,0.378095706
2,298.15,0.94565757,4,0.447702775
2,298.15,0.94565757,5,0.503296643
2,400,1.38993465,1,0.148200458
2,400,1.38993465,2,0.258143875
2,400,1.38993465,3,0.342950524
2,400,1.38993465,4,0.410356685
2,400,1.38993465,5,0.465219386
2,500,1.75389045,1,0.146119643
2,500,1.75389045,2,0.254981483
2,500,1.75389045,3,0.339224271
2,500,1.75389045,4,0.406350989
2,500,1.75389045,5,0.461096937
2,600,2.06011533,1,0.150844254
2,600,2.06011533,2,0.262145383
2,600,2.06011533,3,0.347650578
2,600,2.06011533,4,0.415396494
2,600,2.06011533,5,0.470395461
2,700,2.31802194,1,0.15888301
2,700,2.31802194,2,0.274200258
2,700,2.31802194,3,0.361709911
2,700,2.31802194,4,0.430388011
2,700,2.31802194,5,0.485722707
3,77,-0.07028112,1,0.612861563
3,77,-0.07028112,2,0.759967969
3,77,-0.07028112,3,0.826061727
3,77,-0.07028112,4,0.863615682
3,77,-0.07028112,5,0.887832981
3,100,0.26794677,1,0.20611586
3,100,0.26794677,2,0.341784511
3,100,0.26794677,3,0.43785136
3,100,0.26794677,4,0.509447692
3,100,0.26794677,5,0.56486706
3,273,3.05785623,1,0.003550498
3,273,3.05785623,2,0.007075874
3,273,3.05785623,3,0.010576392
3,273,3.05785623,4,0.014052315
3,273,3.05785623,5,0.017503901
3,298.15,3.47954295,1,0.002805402
3,298.15,3.47954295,2,0.005595107
3,298.15,3.47954295,3,0.008369247
3,298.15,3.47954295,4,0.011127951
3,298.15,3.47954295,5,0.013871349
3,400,5.21398059,1,0.001413719
3,400,5.21398059,2,0.002823447
3,400,5.21398059,3,0.0042292
3,400,5.21398059,4,0.005630995
3,400,5.21398059,5,0.007028849
3,500,6.94465317,1,0.000920117
3,500,6.94465317,2,0.001838543
3,500,6.94465317,3,0.002755282
3,500,6.94465317,4,0.003670338
3,500,6.94465317,5,0.004583717
3,600,8.6972886,1,0.000678356
3,600,8.6972886,2,0.001355793
3,600,8.6972886,3,0.002032312
3,600,8.6972886,4,0.002707915
3,600,8.6972886,5,0.003382604
3,700,10.46561178,1,0.000539491
3,700,10.46561178,2,0.0010784
3,700,10.46561178,3,0.001616728
3,700,10.46561178,4,0.002154476
3,700,10.46561178,5,0.002691645
4,77,-0.28990962,1,0.869307139
4,77,-0.28990962,2,0.930084865
4,77,-0.28990962,3,0.95227774
4,77,-0.28990962,4,0.963776134
4,77,-0.28990962,5,0.970809428
4,100,-0.10228413,1,0.625923218
4,100,-0.10228413,2,0.769929614
4,100,-0.10228413,3,0.833879977
4,100,-0.10228413,4,0.870011562
4,100,-0.10228413,5,0.893233569
4,273,1.11257523,1,0.113949844
4,273,1.11257523,2,0.204587028
4,273,1.11257523,3,0.27840184
4,273,1.11257523,4,0.339679946
4,273,1.11257523,5,0.391365205
4,298.15,1.2612951,1,0.106306066
4,298.15,1.2612951,2,0.192182017
4,298.15,1.2612951,3,0.263000995
4,298.15,1.2612951,4,0.322403819
4,298.15,1.2612951,5,0.372945047
4,400,1.81099386,1,0.092914844
4,400,1.81099386,2,0.17003126
4,400,1.81099386,3,0.235062871
4,400,1.81099386,4,0.29064396
4,400,1.81099386,5,0.338695034
4,500,2.28037134,1,0.091513732
4,500,2.28037134,2,0.167682237
4,500,2.28037134,3,0.23206663
4,500,2.28037134,4,0.287205255
4,500,2.28037134,5,0.334956269
4,600,2.6920179,1,0.094659454
4,600,2.6920179,2,0.172947766
4,600,2.6920179,3,0.238773939
4,600,2.6920179,4,0.294894233
4,600,2.6920179,5,0.343307911
4,700,3.05471868,1,0.100090689
4,700,3.05471868,2,0.181968069
4,700,3.05471868,3,0.250188907
4,700,3.05471868,4,0.307906911
4,700,3.05471868,5,0.357374147
5,77,300.3739768,1,0
5,77,300.3739768,2,0
5,77,300.3739768,3,0
5,77,300.3739768,4,0
5,77,300.3739768,5,0
5,100,300.7197348,1,0
5,100,300.7197348,2,0
5,100,300.7197348,3,0
5,100,300.7197348,4,0
5,100,300.7197348,5,0
5,273,304.2268882,1,2.70E-244
5,273,304.2268882,2,5.40E-244
5,273,304.2268882,3,8.10E-244
5,273,304.2268882,4,1.08E-243
5,273,304.2268882,5,1.35E-243
5,298.15,304.8882837,1,3.11E-224
5,298.15,304.8882837,2,6.21E-224
5,298.15,304.8882837,3,9.32E-224
5,298.15,304.8882837,4,1.24E-223
5,298.15,304.8882837,5,1.55E-223
5,400,307.9197845,1,5.58E-169
5,400,307.9197845,2,1.12E-168
5,400,307.9197845,3,1.67E-168
5,400,307.9197845,4,2.23E-168
5,400,307.9197845,5,2.79E-168
5,500,311.3453616,1,7.94E-137
5,500,311.3453616,2,1.59E-136
5,500,311.3453616,3,2.38E-136
5,500,311.3453616,4,3.18E-136
5,500,311.3453616,5,3.97E-136
5,600,315.1072841,1,1.63E-115
5,600,315.1072841,2,3.26E-115
5,600,315.1072841,3,4.90E-115
5,600,315.1072841,4,6.53E-115
5,600,315.1072841,5,8.16E-115
5,700,319.1214655,1,2.28E-100
5,700,319.1214655,2,4.56E-100
5,700,319.1214655,3,6.83E-100
5,700,319.1214655,4,9.11E-100
5,700,319.1214655,5,1.14E-99
6,77,0.65386542,1,0.013739331
6,77,0.65386542,2,0.027106239
6,77,0.65386542,3,0.040115667
6,77,0.65386542,4,0.052781764
6,77,0.65386542,5,0.065117945
6,100,1.0730421,1,0.004494874
6,100,1.0730421,2,0.008949522
6,100,1.0730421,3,0.01336448
6,100,1.0730421,4,0.017740277
6,100,1.0730421,5,0.022077431
6,273,4.20494451,1,0.000429805
6,273,4.20494451,2,0.00085924
6,273,4.20494451,3,0.001288306
6,273,4.20494451,4,0.001717005
6,273,4.20494451,5,0.002145335
6,298.15,4.64106396,1,0.000395872
6,298.15,4.64106396,2,0.000791431
6,298.15,4.64106396,3,0.001186677
6,298.15,4.64106396,4,0.00158161
6,298.15,4.64106396,5,0.001976231
6,400,6.36420642,1,0.00033291
6,400,6.36420642,2,0.000665598
6,400,6.36420642,3,0.000998065
6,400,6.36420642,4,0.001330311
6,400,6.36420642,5,0.001662336
6,500,7.99133985,1,0.00032104
6,500,7.99133985,2,0.000641874
6,500,7.99133985,3,0.000962502
6,500,7.99133985,4,0.001282925
6,500,7.99133985,5,0.001603142
6,600,9.56387991,1,0.000328041
6,600,9.56387991,2,0.000655867
6,600,9.56387991,3,0.000983478
6,600,9.56387991,4,0.001310875
6,600,9.56387991,5,0.001638057
6,700,11.08935672,1,0.000344596
6,700,11.08935672,2,0.000688955
