Element,X,Y,Z
C,5.14314550,1.26046940,114.62660720
C,5.28832860,0.27259800,111.00516220
C,5.07143870,1.52356090,110.37534560
C,5.12075000,1.34857260,113.20952000
C,4.65255910,2.52871950,112.57970350
C,4.03692910,3.42694210,114.78406130
C,4.60846470,2.60821430,111.16261630
C,3.85516180,3.63021430,110.53279980
C,3.97750630,3.49573640,113.36697410
C,3.03107920,4.34203720,112.73715760
C,2.07881640,4.87024140,114.94151540
C,2.95609570,4.39342990,111.32007040
C,1.82534610,4.97079880,110.69025390
C,1.99490590,4.90520940,113.52442820
C,0.76996330,5.23907290,112.89461170
C,-0.31798020,5.28579390,115.09896960
C,0.67991420,5.25151840,111.47752450
C,-0.58966470,5.26241620,110.84770800
C,-0.40867110,5.27955650,113.68188240
C,-1.65363480,5.03052890,113.05206590
C,-1.73974680,5.00140080,111.63497870
C,-2.88024110,4.44352790,111.00516220
C,-2.72600790,4.53978080,113.83933650
C,-3.72827320,3.76041330,113.20952000
C,-3.79227630,3.69585840,111.79243280
C,-4.56301220,2.68694040,111.16261630
C,-4.46808670,2.84199400,113.99679060
C,-5.01614960,1.69675330,113.36697410
C,-5.04453750,1.61039440,111.94988690
C,-5.28286980,0.36333900,111.32007040
C,-5.26728370,0.54447310,114.15424480
C,-5.24548890,-0.72496550,113.52442820
C,-5.23227100,-0.81490440,112.10734110
C,-4.88790540,-2.03693620,111.47752450
C,-4.95494780,-1.86794570,114.31169890
C,-4.36789450,-2.99369780,113.68188240
C,-4.31586010,-3.06823740,112.26479520
C,-3.46146670,-4.00736530,111.63497870
C,-3.59698990,-3.88617970,114.46915300
C,-2.56856150,-4.63068250,113.83933650
C,-3.39216490,-4.06619550,110.21789150
C,-2.48869120,-4.67409290,112.42224930
C,-1.30456910,-5.13213680,111.79243280
C,-1.47997420,-5.08432940,114.62660720
C,-0.22719570,-5.29047360,113.99679060
C,-1.21627690,-5.15377520,110.37534560
C,-0.13634420,-5.29359410,112.57970350
C,1.12762630,-5.17389480,111.94988690
C,0.94935430,-5.20955420,114.78406130
C,2.16211430,-4.83383810,114.15424480
C,1.21627690,-5.15377520,110.53279980
C,2.24477500,-4.79601020,112.73715760
C,3.32186340,-4.12382740,112.10734110
C,3.17834450,-4.23542850,114.94151540
C,4.09516230,-3.35713780,114.31169890
C,3.39216490,-4.06619550,110.69025390
C,4.15218860,-3.28634420,112.89461170
C,4.81510150,-2.20352580,112.26479520
C,4.73662190,-2.36751800,115.09896960
C,5.16402530,-1.17199480,114.46915300
C,4.85221850,-2.12054350,110.84770800
C,5.21751110,-0.90460320,110.21789150
C,5.18338320,-1.08317470,113.05206590
C,5.29222880,0.18177670,112.42224930
C,5.29534970,0.00000000,115.25642370
C,5.18338320,1.08317470,117.46078150
C,4.77656560,2.28585870,116.83096500
C,4.85221850,2.12054350,119.66513930
C,4.20799120,3.21458220,119.03532280
C,4.73662190,2.36751800,115.41387780
C,4.15218860,3.28634420,117.61823560
C,3.25058300,4.18024390,116.98841910
C,3.39216490,4.06619550,119.82259350
C,2.32677410,4.75676900,119.19277690
C,3.17834450,4.23542850,115.57133190
C,2.24477500,4.79601020,117.77568980
C,1.03864340,5.19248960,117.14587320
C,1.21627690,5.15377520,119.98004760
C,-0.04545250,5.29515470,119.35023110
C,0.94935430,5.20955420,115.72878610
C,-0.13634420,5.29359410,117.93314390
C,-1.39247680,5.10898590,117.30332740
C,-1.21627690,5.15377520,120.13750170
C,-2.40808750,4.71612590,119.50768520
C,-1.47997420,5.08432940,115.88624020
